experiment,scenario_id,city,name,valence,token_count,semantic_transparency,template,swap_order,control_avg_logprob,prevention_avg_logprob,prevention_minus_control
name,S1,Los Angeles,Brentwood,affluent,1,semi,T1,True,-5.541666666666667,-3.5625,1.979166666666667
name,S1,Los Angeles,Brentwood,affluent,1,semi,T2,False,-4.833333333333333,-3.4166666666666665,1.4166666666666665
name,S1,Los Angeles,Brentwood,affluent,1,semi,T2,True,-5.625,-3.25,2.375
name,S1,Los Angeles,Beverly Grove,affluent,2,transparent,T1,False,-4.958333333333333,-3.0,1.958333333333333
name,S1,Los Angeles,Beverly Grove,affluent,2,transparent,T1,True,-5.5,-3.3958333333333335,2.1041666666666665
name,S1,Los Angeles,Beverly Grove,affluent,2,transparent,T2,False,-4.770833333333333,-3.0625,1.708333333333333
name,S1,Los Angeles,Beverly Grove,affluent,2,transparent,T2,True,-5.541666666666667,-3.3125,2.229166666666667
name,S1,Los Angeles,Pasadena,affluent,1,opaque,T1,False,-5.041666666666667,-3.0,2.041666666666667
name,S1,Los Angeles,Pasadena,affluent,1,opaque,T1,True,-5.666666666666667,-3.5208333333333335,2.1458333333333335
name,S1,Los Angeles,Pasadena,affluent,1,opaque,T2,False,-4.8125,-3.2291666666666665,1.5833333333333335
name,S1,Los Angeles,Pasadena,affluent,1,opaque,T2,True,-5.75,-3.4791666666666665,2.2708333333333335
name,S1,Los Angeles,Watts,under_resourced,1,opaque,T1,False,-5.041666666666667,-3.0,2.041666666666667
name,S1,Los Angeles,Watts,under_resourced,1,opaque,T1,True,-5.625,-3.5833333333333335,2.0416666666666665
name,S1,Los Angeles,Watts,under_resourced,1,opaque,T2,False,-4.791666666666667,-3.1458333333333335,1.6458333333333335
name,S1,Los Angeles,Watts,under_resourced,1,opaque,T2,True,-5.5,-3.3541666666666665,2.1458333333333335
name,S1,Los Angeles,Compton,under_resourced,1,opaque,T1,False,-5.041666666666667,-2.9583333333333335,2.0833333333333335
name,S1,Los Angeles,Compton,under_resourced,1,opaque,T1,True,-5.625,-3.625,2.0
