scenario_id,city,name,valence,layer,name_first_score,name_last_score,answer_score,answer_delta,behavior_delta
S1,Boston,Back Bay,affluent,5,11.614682280120162,11.614682280120162,-4.5289353636864025,0.33935447847993316,0.9531249999999996
S1,Boston,Back Bay,affluent,10,14.947762359721331,14.947762359721331,6.120139645734104,-0.15612013983498763,0.9531249999999996
S1,Boston,Back Bay,affluent,15,-0.20207524294172122,-0.20207524294172122,-4.085261558388278,-0.1495966836804974,0.9531249999999996
S1,Boston,Back Bay,affluent,18,-0.017195243361501945,-0.017195243361501945,-1.1239543467693796,0.031237939336324905,0.9531249999999996
S1,Boston,Back Bay,affluent,20,0.5767700807682435,0.5767700807682435,-2.2599215674605033,-0.0013247194648080551,0.9531249999999996
S1,Boston,Back Bay,affluent,22,1.4325577615472813,1.4325577615472813,0.21015198638107513,0.21144160736517986,0.9531249999999996
S1,Boston,Back Bay,affluent,25,0.038926155879348015,0.038926155879348015,-3.236688926282299,0.24279665728110622,0.9531249999999996
S1,Boston,Back Bay,affluent,30,-0.127695065417518,-0.127695065417518,-5.4973805630231345,-0.40599039191980246,0.9531249999999996
S1,Boston,Back Bay,affluent,35,-1.0476509010638024,-1.0476509010638024,-4.452675152420689,-0.21531783529212056,0.9531249999999996
S1,Boston,Back Bay,affluent,40,-1.2078952987326237,-1.2078952987326237,-5.960884656531369,-0.018373455581338405,0.9531249999999996
S1,Boston,Beacon Hill,affluent,5,41.58002522707782,41.58002522707782,-4.7109791387526565,0.15731070341367914,1.6249999999999991
S1,Boston,Beacon Hill,affluent,10,16.839052516805843,16.839052516805843,6.111596801010997,-0.16466298455809536,1.6249999999999991
S1,Boston,Beacon Hill,affluent,15,2.635821583304229,2.635821583304229,-4.119089056604944,-0.18342418189716314,1.6249999999999991
S1,Boston,Beacon Hill,affluent,18,3.0728562386268723,3.0728562386268723,-1.1515495964920828,0.0036426896136216858,1.6249999999999991
S1,Boston,Beacon Hill,affluent,20,2.968475500848094,2.968475500848094,-2.221310893599599,0.037285954396096166,1.6249999999999991
S1,Boston,Beacon Hill,affluent,22,4.4369194311033615,4.4369194311033615,0.19507230347400123,0.19636192445810596,1.6249999999999991
S1,Boston,Beacon Hill,affluent,25,1.5049173479720626,1.5049173479720626,-3.1732126519194273,0.30627293164397784,1.6249999999999991
S1,Boston,Beacon Hill,affluent,30,1.4683636496849162,1.4683636496849162,-5.556321383766277,-0.464931212662945,1.6249999999999991
S1,Boston,Beacon Hill,affluent,35,1.1915653370195685,1.1915653370195685,-4.52448751537705,-0.28713019824848196,1.6249999999999991
S1,Boston,Beacon Hill,affluent,40,-0.9808433297964689,-0.9808433297964689,-5.930160169940718,0.01235103100931223,1.6249999999999991
S1,Boston,Brookline,affluent,5,26.075348177632193,26.075348177632193,-4.41822468290682,0.4500651592595153,1.8802083333333326
S1,Boston,Brookline,affluent,10,18.36623802602036,18.36623802602036,6.141103131413783,-0.13515665415530886,1.8802083333333326
S1,Boston,Brookline,affluent,15,2.466450428369008,2.466450428369008,-4.061157206810349,-0.1254923321025685,1.8802083333333326
S1,Boston,Brookline,affluent,18,2.323150073151308,2.323150073151308,-1.1333122630724235,0.02188002303328096,1.8802083333333326
S1,Boston,Brookline,affluent,20,3.729987726416026,3.729987726416026,-2.180571253042686,0.07802559495300931,1.8802083333333326
S1,Boston,Brookline,affluent,22,6.193050944863086,6.193050944863086,0.2659832686127717,0.26727288959687645,1.8802083333333326
S1,Boston,Brookline,affluent,25,2.8691264538311643,2.8691264538311643,-3.119559751512979,0.35992583205042594,1.8802083333333326
S1,Boston,Brookline,affluent,30,1.949677161021569,1.949677161021569,-5.563187349467662,-0.47179717836433,1.8802083333333326
S1,Boston,Brookline,affluent,35,-0.21461360127540574,-0.21461360127540574,-4.538257059263971,-0.30089974213540316,1.8802083333333326
S1,Boston,Brookline,affluent,40,-0.9684089279381148,-0.9684089279381148,-5.895780228655206,0.04673097229482437,1.8802083333333326
S1,Boston,Roxbury,under_resourced,5,13.777164728460567,13.777164728460567,-4.3580043653687675,0.5102854767975682,2.1614583333333326
S1,Boston,Roxbury,under_resourced,10,13.4141453773174,13.4141453773174,6.14982445110783,-0.1264353344612621,2.1614583333333326
S1,Boston,Roxbury,under_resourced,15,0.20907869219112704,0.20907869219112704,-4.081085036352732,-0.14542016164495175,2.1614583333333326
S1,Boston,Roxbury,under_resourced,18,2.0177628372628336,2.0177628372628336,-1.0878062851540453,0.06738600095165914,2.1614583333333326
S1,Boston,Roxbury,under_resourced,20,5.339946496297376,5.339946496297376,-2.1095652859784915,0.1490315620172038,2.1614583333333326
S1,Boston,Roxbury,under_resourced,22,5.875457802883384,5.875457802883384,0.2273039937102082,0.22859361469431294,2.1614583333333326
S1,Boston,Roxbury,under_resourced,25,2.4531342700340093,2.4531342700340093,-3.1137165500238906,0.3657690335395145,2.1614583333333326
S1,Boston,Roxbury,under_resourced,30,1.9897801457059479,1.9897801457059479,-5.49304315160386,-0.4016529805005282,2.1614583333333326
S1,Boston,Roxbury,under_resourced,35,-1.4618037907238326,-1.4618037907238326,-4.487075745825597,-0.24971842869702865,2.1614583333333326
S1,Boston,Roxbury,under_resourced,40,-1.77075636099488,-1.77075636099488,-5.857194625303945,0.08531657564608519,2.1614583333333326
S1,Boston,Dorchester,under_resourced,5,11.221073328421815,-1.0131021376774783,-4.769303086113384,0.09898675605295182,1.7499999999999993
S1,Boston,Dorchester,under_resourced,10,17.768627074613992,20.05948607977216,6.165704099792171,-0.11055568577692121,1.7499999999999993
S1,Boston,Dorchester,under_resourced,15,2.7949904496244753,3.380682949337164,-4.14870034201083,-0.21303546730304967,1.7499999999999993
S1,Boston,Dorchester,under_resourced,18,7.417952655490259,2.3481130918185085,-1.1568961572514187,-0.001703871145714242,1.7499999999999993
S1,Boston,Dorchester,under_resourced,20,8.517579280405869,4.768720977455549,-2.1754575046655673,0.08313934333012796,1.7499999999999993
S1,Boston,Dorchester,under_resourced,22,5.779441846134244,5.381230727933351,0.24422863333480704,0.24551825431891178,1.7499999999999993
S1,Boston,Dorchester,under_resourced,25,3.6114171985940153,1.7244582880653545,-3.1040524077029,0.37543317586050495,1.7499999999999993
S1,Boston,Dorchester,under_resourced,30,2.5763951497243043,1.995663961193061,-5.491555562860885,-0.40016539175755295,1.7499999999999993
S1,Boston,Dorchester,under_resourced,35,0.6476621038846527,-1.1418990646657743,-4.488140376238636,-0.25078305911006815,1.7499999999999993
S1,Boston,Dorchester,under_resourced,40,-0.7619948070165964,-2.3407955781843977,-5.8908477864436,0.05166341450643053,1.7499999999999993
S1,Boston,Chelsea,under_resourced,5,9.106333298964019,-2.402042789619113,-4.780631111860215,0.0876587303061207,1.1302083333333328
S1,Boston,Chelsea,under_resourced,10,16.755394335182498,14.595897889888725,6.143934441903898,-0.13232534366519388,1.1302083333333328
S1,Boston,Chelsea,under_resourced,15,1.828063057522948,-0.5949729205387423,-4.132206317492455,-0.19654144278467411,1.1302083333333328
S1,Boston,Chelsea,under_resourced,18,4.11186200905082,-0.7806691960884882,-1.1549279183944146,0.00026436771128990344,1.1302083333333328
S1,Boston,Chelsea,under_resourced,20,6.285232304099267,-0.33292936333311585,-2.2096908098781336,0.04890603811756167,1.1302083333333328
S1,Boston,Chelsea,under_resourced,22,4.595408324318978,2.7532169154190607,0.23679729560379886,0.2380869165879036,1.1302083333333328
S1,Boston,Chelsea,under_resourced,25,3.061680302152262,0.6159710207781777,-3.2741145402484535,0.2053710433149516,1.1302083333333328
S1,Boston,Chelsea,under_resourced,30,2.576486758762761,2.598226302323385,-5.441177402241595,-0.34978723113826327,1.1302083333333328
S1,Boston,Chelsea,under_resourced,35,0.7963207029714113,-0.6300409451478919,-4.4343988487119095,-0.19704153158334137,1.1302083333333328
S1,Boston,Chelsea,under_resourced,40,-0.37875433838077766,-2.1276142017264763,-5.95495335799303,-0.012442157042999114,1.1302083333333328
S1,Chicago,Lincoln Park,affluent,5,32.830200258230484,32.830200258230484,-4.621355936592474,0.24693390557386152,1.2656249999999993
S1,Chicago,Lincoln Park,affluent,10,19.56251660648675,19.56251660648675,6.130593100975485,-0.145666684593607,1.2656249999999993
S1,Chicago,Lincoln Park,affluent,15,1.3392183777881859,1.3392183777881859,-4.098104408229795,-0.16243953352201457,1.2656249999999993
S1,Chicago,Lincoln Park,affluent,18,4.416664563628338,4.416664563628338,-1.1574257049139232,-0.002233418808218701,1.2656249999999993
S1,Chicago,Lincoln Park,affluent,20,5.568684426102387,5.568684426102387,-2.1958217330422545,0.06277511495344079,1.2656249999999993
S1,Chicago,Lincoln Park,affluent,22,5.541246632732628,5.541246632732628,0.23243867560699172,0.23372829659109645,1.2656249999999993
S1,Chicago,Lincoln Park,affluent,25,2.5331627082315116,2.5331627082315116,-3.255618054236371,0.22386752932703402,1.2656249999999993
