layer,name_first_score,name_last_score,answer_delta
5,0.03147877191922281,0.04944934351529116,-0.27740169815121346
10,-0.015764764841541986,-0.051979219213748644,-0.03404428796080507
15,0.16026898272342907,0.15388969509335035,0.22746963591562228
18,0.24822148625674892,0.14338295529983328,0.2638055211909543
20,0.34970963190787735,0.3167555206402571,0.6157856179438356
22,0.39251350552510206,0.24857053266819146,-0.4246005746086632
25,0.35772870128290296,0.2013966288444013,-0.10279985583333026
30,0.3446741820277053,0.2630767530982967,-0.180332337609767
35,0.14217652260257288,0.0005133648068736643,-0.28159171382265774
40,-0.02361427495031889,-0.03814189379533885,0.4249718046256428
