scenario_id,city,name,valence,mean_pref,std_pref,delta_from_baseline
S1,Boston,Back Bay,affluent,1.9635416666666665,0.35411560089368593,-0.2552083333333335
S1,Boston,Beacon Hill,affluent,2.036458333333333,0.25194555463432977,-0.18229166666666696
S1,Boston,Brookline,affluent,2.0,0.2574132360118143,-0.21875
S1,Boston,Chelsea,under_resourced,2.0260416666666665,0.19644923833077255,-0.19270833333333348
S1,Boston,Dorchester,under_resourced,1.96875,0.19654127358451243,-0.25
S1,Boston,Roxbury,under_resourced,1.8229166666666665,0.45975159355653966,-0.3958333333333335
S1,Chicago,Austin,under_resourced,1.9010416666666665,0.235318317706353,-0.3177083333333335
S1,Chicago,Englewood,under_resourced,1.90625,0.21074987368741016,-0.3125
S1,Chicago,Harvey,under_resourced,1.8437500000000002,0.2514425970865509,-0.3749999999999998
S1,Chicago,Lakeview,affluent,2.015625,0.4015936857396116,-0.203125
S1,Chicago,Lincoln Park,affluent,1.9635416666666667,0.23897870566069124,-0.25520833333333326
S1,Chicago,Winnetka,affluent,1.8229166666666665,0.36184487416980654,-0.3958333333333335
S1,Los Angeles,Beverly Grove,affluent,2.0,0.22373616241093092,-0.21875
S1,Los Angeles,Brentwood,affluent,1.9375,0.3941851651755105,-0.28125
S1,Los Angeles,Compton,under_resourced,1.979166666666667,0.14333171833715494,-0.23958333333333304
S1,Los Angeles,Inglewood,under_resourced,1.9479166666666665,0.24206145913796337,-0.2708333333333335
S1,Los Angeles,Pasadena,affluent,2.010416666666667,0.2997394702070449,-0.20833333333333304
S1,Los Angeles,Watts,under_resourced,1.96875,0.22080712632756455,-0.25
S2,Boston,Back Bay,affluent,1.7083333333333335,1.3268069440075547,-0.21874999999999956
S2,Boston,Beacon Hill,affluent,1.901041666666667,1.103363832869822,-0.026041666666666075
S2,Boston,Brookline,affluent,1.8541666666666665,1.0014457142144644,-0.07291666666666652
S2,Boston,Chelsea,under_resourced,1.9947916666666665,0.7743678350638548,0.06770833333333348
S2,Boston,Dorchester,under_resourced,1.9791666666666665,0.7696123964313082,0.05208333333333348
S2,Boston,Roxbury,under_resourced,1.7708333333333335,1.070030503199688,-0.15624999999999956
S2,Chicago,Austin,under_resourced,1.7968749999999998,0.7751147988452347,-0.13020833333333326
S2,Chicago,Englewood,under_resourced,1.8489583333333333,0.7305294804176347,-0.07812499999999978
S2,Chicago,Harvey,under_resourced,1.598958333333333,0.9772254694058866,-0.328125
S2,Chicago,Lakeview,affluent,1.9166666666666667,1.074886944959536,-0.010416666666666297
S2,Chicago,Lincoln Park,affluent,1.7812499999999998,0.8151665644380773,-0.14583333333333326
S2,Chicago,Winnetka,affluent,1.7552083333333335,1.024352635452879,-0.17187499999999956
S2,Los Angeles,Beverly Grove,affluent,1.7239583333333335,1.02039035173183,-0.20312499999999956
S2,Los Angeles,Brentwood,affluent,1.8020833333333335,1.057176204697106,-0.12499999999999956
S2,Los Angeles,Compton,under_resourced,1.7864583333333333,0.9715833714536212,-0.14062499999999978
S2,Los Angeles,Inglewood,under_resourced,1.7760416666666667,0.9822461916538638,-0.1510416666666663
S2,Los Angeles,Pasadena,affluent,1.8333333333333335,1.0379098922567624,-0.09374999999999956
S2,Los Angeles,Watts,under_resourced,1.9375,0.8281086214313245,0.010416666666666963
S3,Boston,Back Bay,affluent,1.890625,0.8304420328399857,-0.20312499999999956
S3,Boston,Beacon Hill,affluent,2.005208333333333,0.6046154942054771,-0.08854166666666652
S3,Boston,Brookline,affluent,1.963541666666667,0.6124610248370461,-0.1302083333333326
S3,Boston,Chelsea,under_resourced,1.9479166666666665,0.5565529241746983,-0.14583333333333304
S3,Boston,Dorchester,under_resourced,1.921875,0.6225356508458567,-0.17187499999999956
S3,Boston,Roxbury,under_resourced,1.90625,0.7975838804140266,-0.18749999999999956
S3,Chicago,Austin,under_resourced,1.8229166666666665,0.559146381483352,-0.27083333333333304
S3,Chicago,Englewood,under_resourced,1.9375,0.6319062870042961,-0.15624999999999956
S3,Chicago,Harvey,under_resourced,1.7708333333333335,0.5373761700598084,-0.3229166666666661
S3,Chicago,Lakeview,affluent,1.9375,0.7595838285486289,-0.15624999999999956
S3,Chicago,Lincoln Park,affluent,1.9322916666666667,0.5484022985168082,-0.16145833333333282
S3,Chicago,Winnetka,affluent,1.9375000000000002,0.6362414956136865,-0.15624999999999933
S3,Los Angeles,Beverly Grove,affluent,1.8854166666666665,0.5903594714710313,-0.20833333333333304
S3,Los Angeles,Brentwood,affluent,1.963541666666667,0.7195547025121909,-0.1302083333333326
S3,Los Angeles,Compton,under_resourced,1.9375,0.5865486781605186,-0.15624999999999956
S3,Los Angeles,Inglewood,under_resourced,1.984375,0.7512287388376163,-0.10937499999999956
S3,Los Angeles,Pasadena,affluent,1.9375,0.6865523772201702,-0.15624999999999956
S3,Los Angeles,Watts,under_resourced,2.041666666666667,0.6371504124993941,-0.05208333333333259
S4,Boston,Back Bay,affluent,1.7473958333333333,0.9317095482454103,-0.09635416666666696
S4,Boston,Beacon Hill,affluent,1.8385416666666665,0.6527131321418084,-0.005208333333333703
S4,Boston,Brookline,affluent,1.833333333333333,0.7684836560588845,-0.010416666666667185
S4,Boston,Chelsea,under_resourced,1.7916666666666665,0.5982710428733289,-0.0520833333333337
S4,Boston,Dorchester,under_resourced,1.739583333333333,0.628577722882146,-0.10416666666666718
S4,Boston,Roxbury,under_resourced,1.7083333333333335,0.8232023062631911,-0.13541666666666674
