scenario_id,city,name,valence,alpha,base_pref,steered_pref
S1,Chicago,Englewood,under_resourced,-1.25,-0.583333333333333,-0.625
S1,Chicago,Englewood,under_resourced,-1.0,-0.583333333333333,-0.583333333333333
S1,Chicago,Englewood,under_resourced,-0.75,-0.583333333333333,-0.583333333333333
S1,Chicago,Englewood,under_resourced,-0.5,-0.583333333333333,-0.625
S1,Chicago,Englewood,under_resourced,-0.25,-0.583333333333333,-0.583333333333333
S1,Chicago,Englewood,under_resourced,0.0,-0.583333333333333,-0.583333333333333
S1,Chicago,Austin,under_resourced,-2.0,-0.7916666666666661,-0.7916666666666661
S1,Chicago,Austin,under_resourced,-1.75,-0.7916666666666661,-0.75
S1,Chicago,Austin,under_resourced,-1.5,-0.7916666666666661,-0.75
S1,Chicago,Austin,under_resourced,-1.25,-0.7916666666666661,-0.7916666666666661
S1,Chicago,Austin,under_resourced,-1.0,-0.7916666666666661,-0.75
S1,Chicago,Austin,under_resourced,-0.75,-0.7916666666666661,-0.791666666666667
S1,Chicago,Austin,under_resourced,-0.5,-0.7916666666666661,-0.75
S1,Chicago,Austin,under_resourced,-0.25,-0.7916666666666661,-0.7083333333333339
S1,Chicago,Austin,under_resourced,0.0,-0.7916666666666661,-0.7916666666666661
S1,Chicago,Harvey,under_resourced,-2.0,-0.9583333333333339,-0.958333333333333
S1,Chicago,Harvey,under_resourced,-1.75,-0.9583333333333339,-0.9583333333333339
S1,Chicago,Harvey,under_resourced,-1.5,-0.9583333333333339,-0.916666666666667
S1,Chicago,Harvey,under_resourced,-1.25,-0.9583333333333339,-0.916666666666667
S1,Chicago,Harvey,under_resourced,-1.0,-0.9583333333333339,-1.0
S1,Chicago,Harvey,under_resourced,-0.75,-0.9583333333333339,-0.9583333333333339
S1,Chicago,Harvey,under_resourced,-0.5,-0.9583333333333339,-0.958333333333333
S1,Chicago,Harvey,under_resourced,-0.25,-0.9583333333333339,-0.958333333333333
S1,Chicago,Harvey,under_resourced,0.0,-0.9583333333333339,-0.9583333333333339
S1,Los Angeles,Brentwood,affluent,-2.0,-0.833333333333333,-0.8333333333333339
S1,Los Angeles,Brentwood,affluent,-1.75,-0.833333333333333,-0.8333333333333339
S1,Los Angeles,Brentwood,affluent,-1.5,-0.833333333333333,-0.8333333333333339
