scenario_id,city,name,valence,layer,name_first_score,name_last_score,answer_score,answer_delta,behavior_delta
S1,Boston,Back Bay,affluent,5,-13.753316232702854,-13.753316232702854,-5.334891770804819,-0.0022489484614274247,-0.2552083333333335
S1,Boston,Back Bay,affluent,10,-8.661215044727168,-8.661215044727168,2.7023004400053248,0.2907709809825718,-0.2552083333333335
S1,Boston,Back Bay,affluent,15,-0.3800050061656228,-0.3800050061656228,12.034345135619358,0.5710014695401391,-0.2552083333333335
S1,Boston,Back Bay,affluent,18,-12.329001939310528,-12.329001939310528,-3.044488149495662,0.49208854760390786,-0.2552083333333335
S1,Boston,Back Bay,affluent,20,-12.761688108680024,-12.761688108680024,-3.2064091146106177,0.4038842418581452,-0.2552083333333335
S1,Boston,Back Bay,affluent,22,-4.173856615875579,-4.173856615875579,2.1371638722610284,0.6715463525220589,-0.2552083333333335
S1,Boston,Back Bay,affluent,25,-4.18762415197539,-4.18762415197539,5.458812532716369,0.7795562401205389,-0.2552083333333335
S1,Boston,Back Bay,affluent,30,-6.6328142287354765,-6.6328142287354765,0.6188803477712131,-0.7964169487338185,-0.2552083333333335
S1,Boston,Back Bay,affluent,35,-1.9327668482770657,-1.9327668482770657,2.1059258902185123,-0.7787523278492965,-0.2552083333333335
S1,Boston,Back Bay,affluent,40,0.5448556575911757,0.5448556575911757,1.9868405043027302,-0.2656314683865153,-0.2552083333333335
S1,Boston,Beacon Hill,affluent,5,-18.948879932306596,-18.948879932306596,-5.252647193136157,0.07999562920723413,-0.18229166666666696
S1,Boston,Beacon Hill,affluent,10,-10.058302053619203,-10.058302053619203,2.6228365758624044,0.21130711683965142,-0.18229166666666696
S1,Boston,Beacon Hill,affluent,15,-0.9559243531581512,-0.9559243531581512,11.999128145974288,0.535784479895069,-0.18229166666666696
S1,Boston,Beacon Hill,affluent,18,-15.148334780223788,-15.148334780223788,-2.9393551549543973,0.5972215421451725,-0.18229166666666696
S1,Boston,Beacon Hill,affluent,20,-9.174739630416862,-9.174739630416862,-3.0815609566854802,0.5287323997832827,-0.18229166666666696
S1,Boston,Beacon Hill,affluent,22,-5.178967397652295,-5.178967397652295,2.037566855503598,0.5719493357646286,-0.18229166666666696
S1,Boston,Beacon Hill,affluent,25,-8.98646464348294,-8.98646464348294,5.775789561277136,1.0965332686813065,-0.18229166666666696
S1,Boston,Beacon Hill,affluent,30,-9.169040177394429,-9.169040177394429,0.5453552383291042,-0.8699420581759275,-0.18229166666666696
S1,Boston,Beacon Hill,affluent,35,-1.3600744490048495,-1.3600744490048495,2.3234971996808165,-0.5611810183869923,-0.18229166666666696
S1,Boston,Beacon Hill,affluent,40,1.6992963662357592,1.6992963662357592,2.1509419708581983,-0.10153000183104721,-0.18229166666666696
S1,Boston,Brookline,affluent,5,-6.1202902293334756,-6.1202902293334756,-5.261026406358663,0.07161641598472812,-0.21875
S1,Boston,Brookline,affluent,10,-5.97833595597119,-5.97833595597119,2.628205987132776,0.21667652811002291,-0.21875
S1,Boston,Brookline,affluent,15,0.10236497714555727,0.10236497714555727,12.003325295547171,0.5399816294679525,-0.21875
S1,Boston,Brookline,affluent,18,-12.936185060450859,-12.936185060450859,-3.0814936514793057,0.45508304562026414,-0.21875
S1,Boston,Brookline,affluent,20,-8.796830087631243,-8.796830087631243,-3.198012751907028,0.4122806045617349,-0.21875
S1,Boston,Brookline,affluent,22,-7.195171828820316,-7.195171828820316,2.0730574248265863,0.6074399050876167,-0.21875
S1,Boston,Brookline,affluent,25,-11.161760526838407,-11.161760526838407,5.311338492443239,0.6320821998474093,-0.21875
S1,Boston,Brookline,affluent,30,-5.312107235440968,-5.312107235440968,0.2687747610231306,-1.146522535481901,-0.21875
S1,Boston,Brookline,affluent,35,-0.041761958617276024,-0.041761958617276024,2.181562026560178,-0.7031161915076307,-0.21875
S1,Boston,Brookline,affluent,40,2.0678682957550967,2.0678682957550967,2.0224279821428617,-0.2300439905463838,-0.21875
S1,Boston,Roxbury,under_resourced,5,-6.760305508250205,-6.760305508250205,-5.37961582448196,-0.04697300213856881,-0.3958333333333335
S1,Boston,Roxbury,under_resourced,10,-3.711615813603946,-3.711615813603946,2.572732773735897,0.16120331471314397,-0.3958333333333335
S1,Boston,Roxbury,under_resourced,15,1.6694700594334246,1.6694700594334246,11.88716720932411,0.42382354324489135,-0.3958333333333335
S1,Boston,Roxbury,under_resourced,18,-12.294031643225951,-12.294031643225951,-3.216241878221679,0.3203348188778907,-0.3958333333333335
S1,Boston,Roxbury,under_resourced,20,-8.886722183691807,-8.886722183691807,-3.2477230206024266,0.36257033586633636,-0.3958333333333335
S1,Boston,Roxbury,under_resourced,22,-3.890976125604706,-3.890976125604706,2.010441509760598,0.5448239900216283,-0.3958333333333335
S1,Boston,Roxbury,under_resourced,25,-7.888447395745493,-7.888447395745493,5.663303139089548,0.984046846493718,-0.3958333333333335
S1,Boston,Roxbury,under_resourced,30,-4.957912484340436,-4.957912484340436,0.2581578956356898,-1.1571394008693419,-0.3958333333333335
S1,Boston,Roxbury,under_resourced,35,-0.5599093117553681,-0.5599093117553681,1.5688961592369028,-1.315782058830906,-0.3958333333333335
S1,Boston,Roxbury,under_resourced,40,3.1749425687607653,3.1749425687607653,1.7956789451736264,-0.4567930275156191,-0.3958333333333335
S1,Boston,Dorchester,under_resourced,5,-2.571824010280388,-7.382476912771724,-5.31107840381363,0.021564418529761653,-0.25
